"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"71120099999","2021-01-01","54.404999","-110.279444","541.02","COLD LAKE, CA","  15.4","24","  12.7","24","1013.1","24","946.4"," 4"," 13.8","24","  2.9","24","  7.0","999.9","  21.2","*","  10.4","*"," 0.00","G","  3.9","001000"
"71120099999","2021-01-02","54.404999","-110.279444","541.02","COLD LAKE, CA","  19.5","24","  16.8","24"," 999.6","24","934.9"," 4"," 11.6","24","  5.7","24","  8.9","999.9","  24.8","*","  15.8","*"," 0.00","G","  3.9","000000"
"71120099999","2021-01-03","54.404999","-110.279444","541.02","COLD LAKE, CA","  22.7","24","  17.6","24"," 992.3","24","926.9"," 4"," 15.0","24","  3.9","24","  9.9"," 15.0","  35.6","*","  12.2","*"," 0.00","G","  3.9","000000"
"71120099999","2021-01-04","54.404999","-110.279444","541.02","COLD LAKE, CA","  28.7","24","  17.3","24","1004.0","24","937.6"," 4"," 15.0","24","  6.8","24"," 13.0"," 15.9","  36.0"," ","  11.5"," "," 0.00","G","  3.9","000000"
"71120099999","2021-01-05","54.404999","-110.279444","541.02","COLD LAKE, CA","  24.6","24","  18.2","24","1006.7","24","999.9"," 0"," 12.0","24","  4.5","24","  9.9","999.9","  33.4"," ","  16.7"," "," 0.13","G","  5.5","001000"
"71120099999","2021-01-06","54.404999","-110.279444","541.02","COLD LAKE, CA","  19.7","24","  16.5","24","1011.4","24","945.2"," 4"," 15.0","24","  4.9","24"," 13.0","999.9","  24.8","*","  12.2","*"," 0.00","G","  5.5","000000"
"71120099999","2021-01-07","54.404999","-110.279444","541.02","COLD LAKE, CA","  19.0","24","  13.8","24","1020.1","24","951.3"," 4"," 14.4","24","  3.2","24","  8.0","999.9","  30.2","*","  12.2","*"," 0.00","G","  5.5","000000"
"71120099999","2021-01-08","54.404999","-110.279444","541.02","COLD LAKE, CA","  12.3","24","   8.1","24","1029.2","24","960.9"," 4"," 15.0","24","  1.6","24","  5.1","999.9","  31.5"," ","   0.7"," "," 0.00","G","  5.1","000000"
"71120099999","2021-01-09","54.404999","-110.279444","541.02","COLD LAKE, CA","  10.2","24","   7.4","24","1028.1","24","959.8"," 4","  9.1","24","  2.0","24","  6.0","999.9","  21.2","*","   1.4","*"," 0.00","G","  5.1","100000"
"71120099999","2021-01-10","54.404999","-110.279444","541.02","COLD LAKE, CA","   7.1","24","   3.3","24","1020.5","24","953.5"," 4"," 13.3","24","  0.7","24","  2.9","999.9","  21.0"," ","  -2.4"," "," 0.00","G","  5.1","000000"
"71120099999","2021-01-11","54.404999","-110.279444","541.02","COLD LAKE, CA","  14.5","24","  10.0","24","1014.0","24","947.2"," 4"," 14.4","24","  1.4","24","  4.1","999.9","  26.6","*","   6.1","*"," 0.00","G","  5.1","000000"
"71120099999","2021-01-12","54.404999","-110.279444","541.02","COLD LAKE, CA","  26.7","24","  18.5","24","1006.2","24","940.9"," 4"," 15.0","24","  5.6","24"," 11.1","999.9","  32.0","*","  21.2","*"," 0.00","G","  5.1","000000"
"71120099999","2021-01-13","54.404999","-110.279444","541.02","COLD LAKE, CA","  22.7","24","  18.9","24"," 996.4","24","930.9"," 4"," 10.4","24","  6.5","24"," 21.0"," 28.0","  34.0"," ","  11.7"," "," 0.07","G","  6.3","011000"
"71120099999","2021-01-14","54.404999","-110.279444","541.02","COLD LAKE, CA","  28.0","24","  19.8","24","1016.3","24","947.0"," 4"," 15.0","24"," 14.4","24"," 20.0"," 28.0","  33.3"," ","  11.7"," "," 0.31","G","  9.8","001000"
"71120099999","2021-01-15","54.404999","-110.279444","541.02","COLD LAKE, CA","  15.6","24","  10.6","24","1023.8","24","957.7"," 4"," 15.0","24","  3.6","24","  8.9","999.9","  30.0"," ","   2.8"," "," 0.00","G","  8.7","000000"
