"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01052099999","2021-01-01","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  28.1","24","  23.1","24","9999.9"," 0","999.9"," 0","  6.1","24","  5.4","24"," 10.3"," 19.6","  31.1"," ","  24.4"," ","99.99"," ","999.9","001000"
"01052099999","2021-01-02","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  26.8","23","  21.9","23","9999.9"," 0","999.9"," 0","  6.2","23","  3.3","23","  8.0"," 14.0","  30.2","*","  23.0","*","99.99"," ","999.9","011000"
"01052099999","2021-01-03","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  33.4","24","  30.7","24","9999.9"," 0","999.9"," 0","  5.9","23","  6.1","24"," 12.6"," 16.5","  37.4","*","  28.4","*","99.99"," ","999.9","011000"
"01052099999","2021-01-04","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  38.8","24","  33.1","24","9999.9"," 0","999.9"," 0","  6.2","24"," 10.8","24"," 17.9"," 21.6","  41.2"," ","  34.9"," "," 0.00","G","999.9","010000"
"01052099999","2021-01-05","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  38.5","24","  35.1","24","9999.9"," 0","999.9"," 0","  6.2","24","  5.2","24","  9.5"," 14.6","  41.0","*","  37.4"," "," 0.00","G","999.9","010000"
"01052099999","2021-01-06","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  36.4","24","  32.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  6.8","24"," 15.7"," 19.6","  39.6"," ","  32.0","*","99.99"," ","999.9","010000"
"01052099999","2021-01-07","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  33.0","24","  16.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  9.1","24"," 15.9"," 26.2","  37.4"," ","  23.0","*"," 0.00","I","999.9","000000"
"01052099999","2021-01-08","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  24.4","24","  15.5","24","9999.9"," 0","999.9"," 0","  6.0","24","  7.4","24"," 12.0"," 22.9","  26.6","*","  21.2","*","99.99"," ","999.9","001000"
"01052099999","2021-01-09","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  21.4","24","  10.4","24","9999.9"," 0","999.9"," 0","  6.2","24"," 11.2","24"," 25.8"," 42.5","  26.6"," ","  19.4","*"," 0.02","G","999.9","000000"
"01052099999","2021-01-10","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  20.3","24","  11.2","24","9999.9"," 0","999.9"," 0","  6.2","24"," 16.9","24"," 25.4"," 42.9","  22.3"," ","  15.8","*"," 0.00","G","999.9","000000"
"01052099999","2021-01-11","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  18.4","24","   9.4","24","9999.9"," 0","999.9"," 0","  6.2","24"," 12.2","24"," 20.8"," 34.6","  23.0","*","  14.7"," "," 0.00","I","999.9","000000"
"01052099999","2021-01-12","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  19.9","24","   8.5","24","9999.9"," 0","999.9"," 0","  6.2","24"," 11.3","24"," 22.3"," 34.4","  23.0","*","  15.1"," "," 0.00","I","999.9","000000"
"01052099999","2021-01-13","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  20.5","24","  11.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  7.8","24"," 17.9"," 28.2","  28.4","*","  14.0","*"," 0.00","I","999.9","000000"
"01052099999","2021-01-14","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  32.4","24","  30.2","24","9999.9"," 0","999.9"," 0","  4.7","24","  9.3","24"," 15.9"," 26.2","  35.6","*","  23.7"," "," 0.08","G","999.9","011000"
"01052099999","2021-01-15","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  35.9","24","  32.0","24","9999.9"," 0","999.9"," 0","  6.0","24","  8.5","24"," 16.7"," 30.1","  37.4","*","  32.5"," "," 0.00","G","999.9","011000"
"01052099999","2021-01-16","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  35.5","24","  32.3","24","9999.9"," 0","999.9"," 0","  5.8","24","  6.4","24"," 13.4"," 24.9","  37.4","*","  33.3"," "," 0.07","G","999.9","011000"
"01052099999","2021-01-17","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  35.1","24","  33.5","24","9999.9"," 0","999.9"," 0","  6.1","24","  6.2","24"," 12.8"," 17.1","  37.4","*","  33.1"," "," 0.17","G","999.9","011000"
"01052099999","2021-01-18","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  32.1","24","  27.7","24","9999.9"," 0","999.9"," 0","  5.4","23","  7.1","24"," 13.2"," 28.4","  36.1"," ","  24.8","*"," 0.00","G","999.9","011000"
"01052099999","2021-01-19","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  23.8","23","  15.1","23","9999.9"," 0","999.9"," 0","  6.2","22","  7.5","23"," 17.9"," 22.5","  32.0"," ","  15.8","*"," 0.04","E","999.9","001000"
"01052099999","2021-01-20","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  17.2","24","   9.1","24","9999.9"," 0","999.9"," 0","  6.2","24","  7.3","24"," 15.0"," 16.9","  21.2","*","  14.0","*"," 0.00","I","999.9","000000"
"01052099999","2021-01-21","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  14.0","24","   5.6","24","9999.9"," 0","999.9"," 0","  6.2","24"," 12.3","24"," 15.0","999.9","  17.6","*","  12.2","*"," 0.00","I","999.9","000000"
"01052099999","2021-01-22","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  11.7","24","   3.6","24","9999.9"," 0","999.9"," 0","  6.2","24"," 18.9","24"," 28.9"," 35.4","  14.0"," ","   8.6","*"," 0.01","G","999.9","000000"
"01052099999","2021-01-23","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  10.5","24","   3.4","24","9999.9"," 0","999.9"," 0","  5.5","24"," 17.7","24"," 31.1"," 39.0","  15.8","*","   6.8","*"," 0.00","G","999.9","001000"
"01052099999","2021-01-24","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  14.1","24","   5.9","24","9999.9"," 0","999.9"," 0","  6.2","24"," 11.9","24"," 25.1"," 34.2","  17.1"," ","   9.7"," "," 0.02","G","999.9","001000"
"01052099999","2021-01-25","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  16.4","24","   8.7","24","9999.9"," 0","999.9"," 0","  6.0","24","  6.1","24"," 14.0"," 20.4","  19.4","*","  14.0","*"," 0.00","G","999.9","001000"
"01052099999","2021-01-26","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  23.6","24","  18.2","24","9999.9"," 0","999.9"," 0","  6.1","24"," 13.8","24"," 25.1"," 33.2","  28.4","*","  18.7"," "," 0.01","A","999.9","001000"
"01052099999","2021-01-27","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  22.6","24","  15.4","24","9999.9"," 0","999.9"," 0","  5.6","24"," 13.2","24"," 16.1"," 24.3","  24.8","*","  21.0"," "," 0.05","G","999.9","001000"
"01052099999","2021-01-28","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  20.7","24","  11.1","24","9999.9"," 0","999.9"," 0","  6.2","24"," 12.3","24"," 24.1"," 34.0","  23.0","*","  17.6","*"," 0.00","G","999.9","001000"
