"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"68583099999","2021-01-01","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  68.2"," 8","  67.1"," 8","1019.0"," 8","008.0"," 8","999.9"," 0","  5.1"," 8","  6.0","999.9","  91.0"," ","  63.5"," "," 1.57","G","999.9","000000"
"68583099999","2021-01-02","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  65.8"," 8","  61.0"," 8","1025.3"," 8","014.2"," 8","999.9"," 0","  2.3"," 8","  4.1","999.9","  71.1"," ","  62.2"," "," 0.75","G","999.9","000000"
"68583099999","2021-01-03","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  72.1"," 8","  65.9"," 8","1016.8"," 8","005.8"," 8","999.9"," 0","  2.7"," 8","  4.1","999.9","  79.9"," ","  64.2"," "," 0.00","G","999.9","000000"
"68583099999","2021-01-04","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  76.3"," 8","  71.8"," 8","1010.8"," 8","000.0"," 8","999.9"," 0","  1.8"," 8","  6.0","999.9","  86.5"," ","  66.6"," "," 0.01","G","999.9","000000"
"68583099999","2021-01-05","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  76.9"," 8","  73.4"," 8","1006.0"," 8","995.2"," 8","999.9"," 0","  2.4"," 8","  7.0","999.9","  90.9"," ","  72.3"," "," 0.47","G","999.9","000000"
"68583099999","2021-01-06","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  76.1"," 8","  66.9"," 8","1012.2"," 8","001.4"," 8","999.9"," 0","  5.5"," 8","  8.9","999.9","  90.9"," ","  71.6"," "," 0.35","G","999.9","000000"
"68583099999","2021-01-07","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  75.6"," 8","  65.1"," 8","1015.5"," 8","004.7"," 8","999.9"," 0","  2.8"," 8","  5.1","999.9","  84.0"," ","  68.0"," "," 0.01","G","999.9","000000"
"68583099999","2021-01-08","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  77.9"," 8","  70.3"," 8","1010.1"," 8","999.3"," 8","999.9"," 0","  2.5"," 8","  5.1","999.9","  88.3"," ","  66.7"," "," 0.00","G","999.9","000000"
"68583099999","2021-01-09","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  79.3"," 8","  71.6"," 8","1008.9"," 8","998.2"," 8","999.9"," 0","  4.5"," 8","  7.0","999.9","  88.3"," ","  73.6"," "," 0.00","I","999.9","000000"
"68583099999","2021-01-10","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  76.2"," 8","  67.7"," 8","1011.1"," 8","000.3"," 8","999.9"," 0","  5.0"," 8","  8.0"," 15.9","  88.0"," ","  72.0"," "," 0.00","I","999.9","000000"
"68583099999","2021-01-11","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  76.3"," 8","  67.9"," 8","1014.0"," 8","003.1"," 8","999.9"," 0","  4.0"," 8","  8.0","999.9","  83.8"," ","  69.6"," "," 0.01","E","999.9","000000"
"68583099999","2021-01-12","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  79.0"," 8","  72.1"," 8","1013.4"," 8","002.6"," 8","999.9"," 0","  1.7"," 8","  2.9","999.9","  89.6"," ","  72.7"," "," 0.00","I","999.9","000000"
"68583099999","2021-01-13","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  80.3"," 8","  73.2"," 8","1013.9"," 8","003.2"," 8","999.9"," 0","  1.8"," 8","  2.9","999.9","  90.9"," ","  72.3"," "," 0.00","I","999.9","000000"
"68583099999","2021-01-14","-29.7","31.05","94.0","MOUNT EDGECOMBE, SF","  80.0"," 8","  73.5"," 8","1011.1"," 8","000.4"," 8","999.9"," 0","  2.6"," 8","  6.0","999.9","  91.4"," ","  73.4"," "," 0.00","I","999.9","000000"
