"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72465593990","2021-01-01","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  29.5","24","  21.2","24","1019.9","24","938.7","23"," 10.0","24","  7.3","24"," 13.0","999.9","  43.0"," ","  19.9"," "," 0.00","I","999.9","000000"
"72465593990","2021-01-02","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  32.2","24","  23.5","24","1019.6","24","938.6","23"," 10.0","24","  5.6","24","  8.0","999.9","  50.0"," ","  19.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-03","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  35.4","24","  23.5","24","1013.7","24","933.5","23"," 10.0","24","  5.5","24","  9.9","999.9","  52.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-04","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  42.0","24","  25.2","24","1017.6","24","937.9","23"," 10.0","24","  8.6","24"," 15.9"," 22.9","  55.0"," ","  26.1"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-05","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  37.1","24","  24.0","24","1015.2","24","935.0","23"," 10.0","24","  6.2","24"," 18.1"," 25.1","  57.9"," ","  19.9"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-06","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  41.2","24","  29.1","24","1017.0","22","937.7","23"," 10.0","24"," 14.7","24"," 21.0"," 31.1","  48.9"," ","  36.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-07","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  33.8","24","  29.3","24","1023.9","18","943.0","24","  8.6","24","  5.2","24","  8.0","999.9","  41.0"," ","  25.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-08","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  34.3","24","  32.1","24","1027.6","12","946.6","24","  5.0","24","  4.6","24","  7.0","999.9","  39.0"," ","  30.9"," "," 0.00","G","999.9","101000"
"72465593990","2021-01-09","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  33.9","24","  30.9","24","1028.2","20","947.0","24","  5.7","24","  1.1","24","  6.0","999.9","  37.9"," ","  30.9"," "," 0.01","G","999.9","000000"
"72465593990","2021-01-10","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  33.7","24","  27.5","24","1030.7","18","949.1","24","  9.5","24","  3.7","24","  8.0","999.9","  39.9"," ","  28.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-11","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  28.4","24","  17.9","24","1027.6","24","945.6","23"," 10.0","24","  5.5","24"," 11.1"," 17.1","  53.1"," ","  15.1"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-12","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  33.4","22","  16.1","22","1022.9","22","941.9","21"," 10.0","22","  6.8","22"," 14.0"," 22.0","  61.0"," ","  19.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-13","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  42.2","24","  17.7","24","1013.2","23","933.5","23"," 10.0","24","  7.3","24"," 14.0"," 21.0","  68.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-14","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  46.5","24","  20.6","24","1011.6","22","932.9","23","  9.6","24"," 18.2","24"," 32.1"," 53.0","  57.9"," ","  39.0"," "," 0.00","G","999.9","010000"
"72465593990","2021-01-15","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  35.8","24","  12.9","24","1016.1","24","936.0","23","  9.8","24"," 23.3","24"," 31.1"," 47.0","  39.9"," ","  32.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-16","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  33.9","24","  16.7","24","1017.0","24","936.4","23"," 10.0","24","  8.6","24"," 19.0"," 28.9","  53.1"," ","  19.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-17","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  35.8","24","  18.7","24","1018.2","24","937.8","23"," 10.0","24"," 10.1","24"," 15.0"," 24.1","  48.0","*","  27.0","*"," 0.00","G","999.9","000000"
"72465593990","2021-01-18","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  39.4","24","  19.8","24","1014.1","24","934.3","23"," 10.0","24"," 10.1","24"," 24.1"," 36.9","  51.1"," ","  26.1"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-19","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  32.9","24","  19.9","24","1028.9","24","947.7","23"," 10.0","24","  8.7","24"," 13.0"," 21.0","  46.9"," ","  19.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-20","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  33.7","24","  16.2","24","1022.0","24","940.6","23","  9.9","24","  6.9","24"," 17.1"," 24.1","  62.1"," ","  14.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-21","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  33.1","24","  13.0","24","1016.3","23","935.9","23"," 10.0","24","  6.4","24"," 15.9","999.9","  55.9"," ","  17.1"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-22","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  28.2","24","  14.8","24","1022.1","24","941.0","23"," 10.0","24","  6.4","24"," 11.1"," 17.1","  39.0"," ","  14.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-23","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  24.9","24","  17.4","24","1018.0","23","936.4","23","  9.4","24","  7.2","24"," 12.0"," 17.1","  37.9"," ","  18.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-24","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  28.0","24","  22.8","24","1017.1","20","935.8","24","  7.3","24","  8.6","24"," 17.1"," 21.0","  34.0"," ","  21.9"," "," 0.00","G","999.9","000000"
"72465593990","2021-01-25","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  25.7","24","  22.8","24","1011.6"," 9","929.6","24","  2.8","24","  9.5","24"," 18.1"," 22.9","  27.0"," ","  24.1"," "," 0.00","G","999.9","101000"
"72465593990","2021-01-26","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  17.7","24","  12.8","24","1016.9","19","935.1","24","  7.3","24","  9.5","24"," 15.0"," 21.0","  24.1"," ","   7.0"," "," 0.29","G","999.9","001000"
"72465593990","2021-01-27","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  13.0","24","   9.2","24","1030.3","17","945.2","24","  5.3","23","  4.2","24","  9.9","999.9","  21.0"," ","  -0.9"," "," 0.18","G","999.9","101000"
"72465593990","2021-01-28","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  14.3","24","  10.8","24","1031.5","22","947.7","23","  4.8","24","  5.0","24"," 11.1","999.9","  34.0"," ","   1.0"," "," 0.07","G","999.9","000000"
"72465593990","2021-01-29","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  21.7","24","  18.6","24","1016.7","16","936.1","24","  2.5","24","  3.4","24","  7.0","999.9","  28.9","*","  12.2","*"," 0.00","G","999.9","100000"
"72465593990","2021-01-30","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  25.0","24","  22.1","24","1006.1","18","925.5","23","  4.2","24","  7.6","24"," 21.0"," 29.9","  35.1"," ","  19.0"," "," 0.00","G","999.9","100000"
"72465593990","2021-01-31","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  31.9","24","  25.4","24","1025.8","21","943.9","24","  8.6","24"," 12.0","24"," 20.0"," 29.9","  42.1"," ","  23.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-02-01","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  31.0","24","  25.0","24","1029.3","24","947.4","23","  9.6","24","  5.1","24","  8.9","999.9","  46.0"," ","  18.0"," "," 0.00","G","999.9","000000"
"72465593990","2021-02-02","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  31.9","24","  27.7","24","1021.0","19","940.1","23","  7.4","24","  4.0","24","  8.0","999.9","  45.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72465593990","2021-02-03","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  37.2","24","  27.9","24","1011.4","24","931.2","23","  7.5","24","  3.9","24"," 13.0"," 19.0","9999.9"," ","  23.0","*"," 0.00","G","999.9","000000"
"72465593990","2021-02-04","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  39.6","24","  28.8","24","1009.5","21","930.3","23","  9.4","24"," 13.1","23"," 22.9"," 35.0","  59.0"," ","  28.9"," "," 0.01","G","999.9","011000"
"72465593990","2021-02-05","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  36.0","24","  21.1","24","1013.0","24","932.8","23"," 10.0","24","  8.0","24"," 15.9"," 24.1","  51.1"," ","  25.0"," "," 0.00","I","999.9","000000"
"72465593990","2021-02-06","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  24.0","24","  16.3","24","1015.9","21","936.1","23","  9.0","24"," 11.3","24"," 17.1"," 26.0","  42.1"," ","  15.1"," "," 0.00","G","999.9","001000"
"72465593990","2021-02-07","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  10.9","24","   5.4","24","1020.3","13","937.0","23","  6.1","24","  9.9","24"," 13.0"," 19.0","  15.1"," ","   7.0"," "," 0.00","G","999.9","001000"
"72465593990","2021-02-08","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","   7.2","24","   2.4","24","1024.4","20","940.1","24","  5.6","24","  8.6","24"," 12.0","999.9","  12.2","*","   5.0","*"," 0.00","G","999.9","001000"
"72465593990","2021-02-09","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","   6.2"," 9","  -0.8"," 9","1028.1"," 8","943.9"," 9","  9.7"," 9","  5.5"," 9","  8.0","999.9","   7.0","*","   6.1","*"," 0.00","G","999.9","000000"
