"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"47604099999","2021-01-01","37.9","139.0166666","5.7","NIIGATA, JA","  35.0"," 8","  28.7"," 8","1016.7"," 8","016.0"," 8","  5.1"," 7","  8.5"," 8"," 13.0","999.9","  36.3","*","  28.8"," "," 0.28","G","  5.5","011000"
"47604099999","2021-01-02","37.9","139.0166666","5.7","NIIGATA, JA","  32.6"," 8","  28.9"," 8","1021.0"," 8","020.3"," 8","  2.2"," 7","  6.4"," 8"," 12.0","999.9","  34.0","*","  31.1","*"," 0.18","G","  7.5","001000"
"47604099999","2021-01-03","37.9","139.0166666","5.7","NIIGATA, JA","  32.6"," 8","  31.5"," 8","1024.3"," 8","023.6"," 8","  4.5"," 7","  3.9"," 8","  5.1","999.9","  37.9","*","  30.7"," "," 0.55","G"," 11.0","011000"
"47604099999","2021-01-04","37.9","139.0166666","5.7","NIIGATA, JA","  34.4"," 8","  33.3"," 8","1025.1"," 8","024.4"," 8","  5.4"," 7","  3.0"," 8","  5.1","999.9","  38.5","*","  30.9"," "," 0.31","G"," 11.4","011000"
"47604099999","2021-01-05","37.9","139.0166666","5.7","NIIGATA, JA","  36.0"," 8","  32.6"," 8","1018.2"," 8","017.5"," 8","  5.9"," 7","  4.9"," 8","  8.0","999.9","  42.6","*","  32.4"," "," 0.55","G"," 10.2","011000"
"47604099999","2021-01-06","37.9","139.0166666","5.7","NIIGATA, JA","  37.0"," 8","  29.8"," 8","1011.9"," 8","011.2"," 8"," 10.7"," 7","  7.9"," 8"," 17.1","999.9","  40.5","*","  32.2"," "," 0.37","G","  6.3","001000"
"47604099999","2021-01-07","37.9","139.0166666","5.7","NIIGATA, JA","  32.9"," 8","  26.5"," 8","1004.7"," 8","004.0"," 8","  5.2"," 7"," 15.2"," 8"," 27.0","999.9","  39.0","*","  28.4","*"," 0.33","G","  3.5","011000"
"47604099999","2021-01-08","37.9","139.0166666","5.7","NIIGATA, JA","  27.3","17","  26.1","17","1009.3","17","008.6","17","  1.1"," 7","  5.1","17"," 12.0","999.9","  30.7"," ","  26.2","*"," 0.41","G","  5.5","001000"
"47604099999","2021-01-09","37.9","139.0166666","5.7","NIIGATA, JA","  31.4","24","  26.5","24","1012.2","24","011.5","24","  6.2"," 7","  6.1","24"," 11.1","999.9","  32.9","*","  26.2"," "," 1.28","G"," 20.9","011000"
"47604099999","2021-01-10","37.9","139.0166666","5.7","NIIGATA, JA","  32.1","24","  27.7","24","1020.2","24","019.5","24","  5.3"," 7","  5.5","24","  9.9","999.9","  35.8","*","  29.1"," "," 0.28","G"," 18.5","001000"
