"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"07210099999","2021-01-01","47.6","-2.7166666","3.0","VANNES SENE, FR","  34.4","24","  30.9","24","9999.9"," 0","999.9"," 0","  5.9","24","  6.5","24","  9.9","999.9","  41.0","*","  28.4","*","99.99"," ","999.9","010000"
"07210099999","2021-01-02","47.6","-2.7166666","3.0","VANNES SENE, FR","  35.9","24","  33.9","24","9999.9"," 0","999.9"," 0","  5.9","24","  4.1","24","  8.0","999.9","  42.8","*","  30.2","*","99.99"," ","999.9","010000"
"07210099999","2021-01-03","47.6","-2.7166666","3.0","VANNES SENE, FR","  35.1","24","  34.0","24","9999.9"," 0","999.9"," 0","  5.7","24","  6.1","24","  9.9","999.9","  37.4","*","  32.0","*","99.99"," ","999.9","011000"
"07210099999","2021-01-04","47.6","-2.7166666","3.0","VANNES SENE, FR","  34.0","24","  32.5","24","9999.9"," 0","999.9"," 0","  4.2","24","  6.1","24","  8.9","999.9","  39.2","*","  30.2","*","99.99"," ","999.9","011000"
"07210099999","2021-01-05","47.6","-2.7166666","3.0","VANNES SENE, FR","  36.1","24","  33.3","24","9999.9"," 0","999.9"," 0","  4.9","24","  5.4","24","  8.9","999.9","  42.8","*","  30.2","*"," 0.00","I","999.9","000000"
"07210099999","2021-01-06","47.6","-2.7166666","3.0","VANNES SENE, FR","  33.4","24","  31.2","24","9999.9"," 0","999.9"," 0","  3.5","24","  3.1","24","  6.0","999.9","  39.2","*","  26.6","*"," 0.00","I","999.9","000000"
"07210099999","2021-01-07","47.6","-2.7166666","3.0","VANNES SENE, FR","  31.4","24","  28.9","24","9999.9"," 0","999.9"," 0","  4.3","24","  1.2","24","  4.1","999.9","  39.2","*","  26.6","*"," 0.00","I","999.9","000000"
"07210099999","2021-01-08","47.6","-2.7166666","3.0","VANNES SENE, FR","  31.9","24","  29.8","24","9999.9"," 0","999.9"," 0","  4.0","24","  3.6","24","  8.0","999.9","  41.0","*","  24.8","*"," 0.00","I","999.9","100000"
"07210099999","2021-01-09","47.6","-2.7166666","3.0","VANNES SENE, FR","  30.6","24","  26.6","24","9999.9"," 0","999.9"," 0","  4.7","24","  8.7","24"," 15.0","999.9","  39.2","*","  21.2","*"," 0.00","I","999.9","000000"
"07210099999","2021-01-10","47.6","-2.7166666","3.0","VANNES SENE, FR","  34.7","24","  29.4","24","9999.9"," 0","999.9"," 0","  6.0","24","  8.3","24"," 13.0","999.9","  42.8","*","  30.2","*"," 0.00","I","999.9","000000"
"07210099999","2021-01-11","47.6","-2.7166666","3.0","VANNES SENE, FR","  38.9","24","  34.6","24","9999.9"," 0","999.9"," 0","  5.6","24","  3.0","24","  6.0","999.9","  44.6","*","  28.4","*"," 0.00","I","999.9","000000"
"07210099999","2021-01-12","47.6","-2.7166666","3.0","VANNES SENE, FR","  47.6","24","  45.8","24","9999.9"," 0","999.9"," 0","  5.4","24","  8.5","24"," 11.1"," 22.0","  50.0","*","  42.8","*","99.99"," ","999.9","010000"
"07210099999","2021-01-13","47.6","-2.7166666","3.0","VANNES SENE, FR","  48.5","24","  45.3","24","9999.9"," 0","999.9"," 0","  6.0","24","  6.5","24","  9.9","999.9","  50.0","*","  46.4","*","99.99"," ","999.9","010000"
"07210099999","2021-01-14","47.6","-2.7166666","3.0","VANNES SENE, FR","  48.9","24","  45.1","24","9999.9"," 0","999.9"," 0","  5.3","24","  8.8","24"," 14.0"," 21.0","  53.6","*","  42.8","*","99.99"," ","999.9","010000"
