"","global_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Global",2020-01-22,557,557,17,17,0,0,7.6e+09,0.1,0.1,0,0
"2","Global",2020-01-27,2927,2370,82,65,1,1,7.6e+09,0.4,0.3,0,0
"3","Global",2020-02-03,19887,16960,426,344,2,2,7.6e+09,2.6,2.2,0.1,0
"4","Global",2020-02-10,42769,22882,1013,587,3,3,7.6e+09,5.6,3,0.1,0.1
"5","Global",2020-02-17,73270,30501,1868,855,4,4,7.6e+09,9.6,4,0.2,0.1
"6","Global",2020-02-24,79546,6276,2630,762,5,5,7.6e+09,10.5,0.8,0.3,0.1
"7","Global",2020-03-02,90377,10831,3085,455,6,6,7.6e+09,11.9,1.4,0.4,0.1
"8","Global",2020-03-09,114219,23842,3993,908,7,7,7.6e+09,15,3.1,0.5,0.1
"9","Global",2020-03-16,184027,69808,7153,3160,8,8,7.6e+09,24.2,9.2,0.9,0.4
"10","Global",2020-03-23,387040,203013,16817,9664,9,9,7.6e+09,50.9,26.7,2.2,1.3
"11","Global",2020-03-30,798949,411921,39738,22921,10,10,7.6e+09,105.1,54.2,5.2,3
"12","Global",2020-04-06,1329324,530375,79524,39786,11,11,7.6e+09,174.9,69.8,10.5,5.2
"13","Global",2020-04-13,1919799,590475,127669,48145,12,12,7.6e+09,252.6,77.7,16.8,6.3
"14","Global",2020-04-20,2494325,574526,175970,48301,13,13,7.6e+09,328.2,75.6,23.2,6.4
"15","Global",2020-04-27,3043704,549379,217953,41983,14,14,7.6e+09,400.5,72.3,28.7,5.5
"16","Global",2020-05-04,3601487,557785,255462,37509,15,15,7.6e+09,473.9,73.4,33.6,4.9
"17","Global",2020-05-11,4187831,588716,289911,34449,16,16,7.6e+09,551,77.5,38.1,4.5
"18","Global",2020-05-18,4810892,623061,322050,32139,17,17,7.6e+09,633,82,42.4,4.2
"19","Global",2020-05-25,5508342,697624,349598,28423,18,18,7.6e+09,724.8,91.8,46,3.7
"20","Global",2020-06-01,6284173,775831,378025,28427,19,19,7.6e+09,826.9,102.1,49.7,3.7
"21","Global",2020-06-08,7131150,846977,408013,29988,20,20,7.6e+09,938.3,111.4,53.7,3.9
"22","Global",2020-06-15,8045327,914177,437650,29637,21,21,7.6e+09,1058.6,120.3,57.6,3.9
"23","Global",2020-06-22,9076626,1031299,472205,34555,22,22,7.6e+09,1194.3,135.7,62.1,4.5
"24","Global",2020-06-29,10283298,1206672,503444,31239,23,23,7.6e+09,1353.1,158.8,66.2,4.1
"25","Global",2020-07-06,11628530,1345232,535043,31599,24,24,7.6e+09,1530.1,177,70.4,4.2
