"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"32","Afghanistan",2021-02-08,56,55359,300,2413,9,1422.1,7.7,62,0.2,45,44
"67","Albania",2021-02-08,56,86289,7297,1472,79,29982.3,2535.4,511.5,27.4,46,45
"131","Algeria",2021-02-08,56,109313,1735,2918,24,2492.8,39.6,66.5,0.5,46,46
"170","Andorra",2021-02-08,56,10275,303,106,5,133441.6,3935.1,1376.6,64.9,46,44
"238","Angola",2021-02-08,56,20112,283,475,9,611.9,8.6,14.5,0.3,34,33
"248","Antigua and Barbuda",2021-02-08,56,316,82,7,0,3224.5,836.7,71.4,0,19,0
"312","Argentina",2021-02-08,56,1985501,51648,49398,1149,43930.9,1142.8,1093,25.4,46,45
"362","Armenia",2021-02-08,56,168177,1089,3123,39,56759,367.5,1054,13.2,46,43
"399","Australia",2021-02-08,56,28860,37,909,0,1131.8,1.5,35.6,0,47,45
"456","Austria",2021-02-08,56,424896,9374,8032,254,47179.2,1040.9,891.8,28.2,48,46
"516","Azerbaijan",2021-02-08,56,231198,902,3161,25,22802.8,89,311.8,2.5,45,43
"590","Bahrain",2021-02-08,56,108048,4466,383,7,63483,2624,225,4.1,47,38
"634","Bangladesh",2021-02-08,56,538378,2796,8221,84,3269.1,17,49.9,0.5,44,44
"670","Barbados",2021-02-08,56,1732,174,18,4,6034.8,606.3,62.7,13.9,30,2
"703","Belarus",2021-02-08,56,259499,10204,1792,64,27463.1,1079.9,189.6,6.8,45,44
"781","Belgium",2021-02-08,56,726483,15066,21423,299,62681.9,1299.9,1848.4,25.8,48,46
"803","Belize",2021-02-08,56,12070,125,307,5,30326.6,314.1,771.4,12.6,26,24
"886","Benin",2021-02-08,56,4193,300,55,3,345.9,24.7,4.5,0.2,39,33
"938","Bhutan",2021-02-08,56,861,2,1,0,1115.3,2.6,1.3,0,27,0
"962","Bolivia",2021-02-08,56,229187,10888,10864,425,19633.9,932.8,930.7,36.4,44,44
"1039","Bosnia and Herzegovina",2021-02-08,56,124101,1902,4813,89,37824.1,579.7,1466.9,27.1,46,45
"1066","Botswana",2021-02-08,56,24435,1697,179,31,10389,721.5,76.1,13.2,32,21
"1109","Brazil",2021-02-08,56,9524640,295318,231534,6435,44809.4,1389.3,1089.3,30.3,47,46
"1172","Brunei",2021-02-08,56,182,2,3,0,416.5,4.6,6.9,0,45,0
